Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,422.59,422.78,421.19,422.19,398.84,51555000
2021-06-04,420.75,422.92,418.84,422.6,399.23,55938800
2021-06-03,417.85,419.99,416.28,418.77,395.61,58138800
2021-06-02,420.37,421.23,419.29,420.33,397.08,49097100
2021-06-01,422.57,422.72,419.2,419.67,396.46,54216600
2021-05-28,420.97,421.25,419.79,420.04,396.81,58520200
2021-05-27,420.17,420.72,418.99,419.29,396.1,56707700
2021-05-26,418.87,419.61,417.76,419.07,395.89,43088600
2021-05-25,420.33,420.71,417.62,418.24,395.11,57451400
2021-05-24,417.34,420.32,417.08,419.17,395.99,51376700
2021-05-21,416.87,418.2,414.45,414.94,391.99,76578700
2021-05-20,411.8,416.63,411.67,415.28,392.31,78022200
2021-05-19,406.92,411.05,405.33,410.86,388.14,106467100
2021-05-18,415.8,416.06,411.77,411.94,389.16,59810200
2021-05-17,415.39,416.39,413.36,415.52,392.54,65129200
2021-05-14,413.21,417.49,413.18,416.58,393.54,82201600
2021-05-13,407.07,412.35,407.02,410.28,387.59,106394000
2021-05-12,411.23,412.59,404,405.41,382.99,134811000
2021-05-11,413.1,415.27,410.06,414.21,391.3,116888000
2021-05-10,422.5,422.74,417.81,417.94,394.82,81852400
2021-05-07,419.89,422.82,419.16,422.12,398.77,67733800
2021-05-06,415.83,419.21,413.68,419.07,395.89,74321400
2021-05-05,417.38,417.63,415.15,415.75,392.75,60162200
2021-05-04,416.07,416.6,411.67,415.62,392.63,101591200
2021-05-03,419.43,419.84,417.67,418.2,395.07,68128300
2021-04-30,417.63,418.54,416.34,417.3,394.22,85527000
2021-04-29,420.32,420.72,416.44,420.06,396.83,78544300
2021-04-28,417.81,419.01,416.9,417.4,394.31,51238900
2021-04-27,417.93,418.14,416.3,417.52,394.43,51303100
2021-04-26,417.44,418.22,416.81,417.61,394.51,52182400
2021-04-23,412.87,418.25,412.79,416.74,393.69,73209200
2021-04-22,415.89,416.78,411.13,412.27,389.47,97582800
2021-04-21,411.51,416.29,411.36,416.07,393.06,66793000
2021-04-20,413.91,415.09,410.59,412.17,389.37,81851800
2021-04-19,416.26,416.74,413.79,415.21,392.24,78498500
2021-04-16,417.25,417.91,415.73,417.26,394.18,82037300
2021-04-15,413.74,416.16,413.69,415.87,392.87,60229800
2021-04-14,412.83,413.96,410.87,411.45,388.69,61659900
2021-04-13,411.53,413.53,411.12,412.86,390.02,56551000
2021-04-12,410.85,411.93,410.2,411.64,388.87,56704900
2021-04-09,408.39,411.67,408.26,411.49,388.73,61104600
2021-04-08,407.93,408.58,406.93,408.52,385.92,57863100
2021-04-07,405.94,406.96,405.45,406.59,384.1,55836300
2021-04-06,405.76,407.24,405.4,406.12,383.66,62021000
2021-04-05,403.46,406.94,403.38,406.36,383.88,91684800
2021-04-01,398.4,400.67,398.18,400.61,378.45,99682900
2021-03-31,395.34,398,395.31,396.33,374.41,112734200
2021-03-30,394.42,395.45,393.02,394.73,372.9,76262200
2021-03-29,394.4,396.75,392.81,395.78,373.89,108107600
